CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200415,3.0,3.0,2.0,1.0
United States,20200416,3.0,3.0,2.0,1.0
United States,20200417,3.0,3.0,2.0,3.0
United States,20200418,3.0,3.0,2.0,3.0
United States,20200419,3.0,3.0,2.0,3.0
United States,20200420,3.0,3.0,2.0,3.0
United States,20200421,3.0,3.0,2.0,3.0
United States,20200422,3.0,3.0,2.0,3.0
United States,20200423,3.0,3.0,2.0,3.0
United States,20200424,3.0,3.0,2.0,3.0
United States,20200425,3.0,3.0,2.0,3.0
United States,20200426,3.0,3.0,2.0,3.0
United States,20200427,3.0,3.0,2.0,3.0
United States,20200428,3.0,3.0,2.0,3.0
United States,20200429,3.0,3.0,2.0,3.0
United States,20200430,3.0,3.0,2.0,3.0
United States,20200501,3.0,3.0,2.0,3.0
United States,20200502,3.0,3.0,2.0,3.0
United States,20200503,3.0,3.0,2.0,3.0
United States,20200504,3.0,3.0,2.0,3.0
United States,20200505,3.0,3.0,2.0,3.0
United States,20200506,3.0,3.0,2.0,3.0
United States,20200507,3.0,3.0,2.0,3.0
United States,20200508,3.0,3.0,2.0,3.0
United States,20200509,3.0,3.0,2.0,3.0
United States,20200510,3.0,3.0,2.0,3.0
United States,20200511,3.0,3.0,2.0,3.0
United States,20200512,3.0,3.0,2.0,3.0
United States,20200513,3.0,3.0,2.0,3.0
United States,20200514,3.0,3.0,2.0,3.0
United States,20200515,3.0,3.0,2.0,3.0
United States,20200516,3.0,3.0,2.0,3.0
United States,20200517,3.0,3.0,2.0,3.0
United States,20200518,3.0,3.0,2.0,3.0
United States,20200519,3.0,3.0,2.0,3.0
United States,20200520,3.0,3.0,2.0,3.0
United States,20200521,3.0,3.0,2.0,3.0
United States,20200522,3.0,3.0,2.0,3.0
United States,20200523,3.0,3.0,2.0,3.0
United States,20200524,3.0,3.0,2.0,3.0
United States,20200525,3.0,3.0,2.0,3.0
United States,20200526,3.0,3.0,2.0,3.0
United States,20200527,3.0,3.0,2.0,3.0
United States,20200528,3.0,3.0,2.0,3.0
United States,20200529,3.0,3.0,2.0,3.0
United States,20200530,3.0,3.0,2.0,3.0
United States,20200531,3.0,3.0,2.0,3.0
United States,20200601,3.0,3.0,2.0,3.0
United States,20200602,3.0,3.0,2.0,3.0
United States,20200603,3.0,3.0,2.0,3.0
United States,20200604,3.0,3.0,2.0,3.0
United States,20200605,3.0,3.0,2.0,3.0
United States,20200606,3.0,3.0,2.0,3.0
United States,20200607,3.0,3.0,2.0,3.0
United States,20200608,3.0,2.0,1.0,3.0
United States,20200609,3.0,2.0,1.0,3.0
United States,20200610,3.0,2.0,1.0,3.0
United States,20200611,3.0,2.0,1.0,3.0
United States,20200612,3.0,2.0,1.0,3.0
United States,20200613,3.0,2.0,1.0,3.0
United States,20200614,3.0,2.0,1.0,3.0
United States,20200615,3.0,2.0,1.0,3.0
United States,20200616,3.0,2.0,1.0,3.0
United States,20200617,3.0,2.0,1.0,3.0
United States,20200618,3.0,2.0,1.0,3.0
United States,20200619,3.0,2.0,1.0,3.0
United States,20200620,3.0,2.0,1.0,3.0
United States,20200621,3.0,2.0,1.0,3.0
United States,20200622,3.0,2.0,1.0,3.0
United States,20200623,3.0,2.0,1.0,3.0
United States,20200624,3.0,2.0,1.0,3.0
United States,20200625,3.0,2.0,1.0,3.0
United States,20200626,3.0,2.0,1.0,3.0
United States,20200627,3.0,2.0,1.0,3.0
United States,20200628,3.0,2.0,1.0,3.0
United States,20200629,3.0,2.0,1.0,3.0
